trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.3, 'e': 0.28111259386278603}",20,5,-18.92520659343233,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.3, 'e': 0.2785939314996033}",20,3,8.898094030462154,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.2760978353971936}",20,12,18.439714128486735,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.2736241033704081}",30,9,12.93225563417738,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.2711725350455999}",30,9,24.275432835042633,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.2687429318443944}",25,2,-69.42248094110847,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
147,False,"{'a': 0.3, 'e': 0.2663350969676039}",30,2,-68.25316687769732,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 2}",1
148,False,"{'a': 0.3, 'e': 0.2639488353792869}",20,0,-24.175122415696222,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.3, 'e': 0.26158395379094995}",20,0,30.1580095819022,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.3, 'e': 0.25924026064589156}",25,16,-22.889959541591498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.3, 'e': 0.25691756610368544}",20,3,21.096918070860383,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.2546156820248038}",20,0,-12.008097012641766,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
153,False,"{'a': 0.3, 'e': 0.25233442195537764}",25,5,-8.948322527924851,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.25007360111209415}",20,7,13.625166554006778,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.2478330363672288}",20,12,11.569022959808315,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.24561254623381226}",25,3,30.403572357525626,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.24341195085092973}",25,0,18.707286191758342,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.24123107196915192}",20,10,16.16691291796911,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.2390697329360971}",25,10,22.63530268064374,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.23692775868212176}",35,11,16.456637149063305,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.23480497570614037}",30,15,-4.766759553131419,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.23270121206157107}",20,3,30.600681928321762,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.23061629734240854}",25,12,18.205469509633048,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.2285500626694205}",25,14,19.122847947450108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.2265023406764688}",25,0,-11.046862698480558,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.3, 'e': 0.22447296549695234}",20,10,18.223579238713906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.22246177275037213}",25,10,21.537949559716708,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
